Date&Time,Cloudfactor,Windspeed,powerProduction_WindTurbinePowerPlant@16/7_Bus0,powerProductionOptimal_WindTurbinePowerPlant@16/7_Bus0,powerProduction_WindTurbinePowerPlant@24/7_Bus0,powerProductionOptimal_WindTurbinePowerPlant@24/7_Bus0,powerProduction_SolarPowerPlant@12/5_Bus0,powerProductionOptimal_SolarPowerPlant@12/5_Bus0,powerProduction_SolarPowerPlant@20/7_Bus0,powerProductionOptimal_SolarPowerPlant@20/7_Bus0,Column1
2017.09.12   06.00,0.891,1.669,7.4198,400,7.9948,500,0,250,0,300,
2017.09.12   07.00,0.718,1.503,4.5125,400,4.773,500,0,250,0,300,
2017.09.12   08.00,0.819,1.535,4.9665,400,5.272,500,0,250,0,300,
2017.09.12   09.00,0.582,2.201,36.5205,400,41.7572,500,0,250,0,300,
2017.09.12   10.00,0.653,0.731,0,400,0,500,0.2509,250,0.0084,300,
2017.09.12   11.00,0.747,1.38,3.1217,400,3.2569,500,25.8651,250,33.7245,300,
2017.09.12   12.00,0.984,3.386,400,400,500,500,2.7483,250,3.6809,300,
2017.09.12   13.00,1,1.413,3.4461,400,3.6086,500,0,250,0,300,
2017.09.12   14.00,0.79,1.614,6.2926,400,6.7388,500,47.1413,250,61.57,300,
2017.09.12   15.00,1,1.024,1.0745,400,1.0774,500,0,250,0,300,
2017.09.12   16.00,0.899,1.464,4.0149,400,4.2283,500,24.1799,250,31.2865,300,
2017.09.12   17.00,0.993,1.78,10.3467,400,11.2875,500,1.675,250,2.166,300,
2017.09.12   18.00,0.757,1.502,4.499,400,4.7582,500,56.9601,250,73.7964,300,
